mapSize: [41, 41],
map: [
  [ MobleTree3, -44.000, 0.000, -80.000, 0.420, 0.375, 0.420, 270.000 ],
  [ MobleTree3, -44.000, 0.000, -12.000, 0.429, 0.533, 0.429, 270.000 ],
  [ MobleTree3, -40.000, 0.000, -12.000, 0.521, 0.574, 0.521, 180.000 ],
  [ MobleTree3, -36.000, 0.000, -12.000, 0.705, 0.486, 0.705, 270.000 ],
  [ Tree3, -32.000, 0.000, -12.000, 1.191, 0.750, 1.191, 180.000 ],
  [ Tree3, -28.000, 0.000, -12.000, 1.018, 0.902, 1.018, 0.000 ],
  [ MobleTree3, -12.000, 0.000, -12.000, 0.416, 0.532, 0.416, 0.000 ],
  [ Fortress1, -0.000, -0.000, -12.000, 1.000, 3.000, 5.000, 90.000 ],
  [ MobleTree2, 12.000, 0.000, -12.000, 0.513, 0.384, 0.513, 90.000 ],
  [ MobleTree2, 16.000, 0.000, -12.000, 0.614, 0.523, 0.614, 180.000 ],
  [ Tree3, 20.000, 0.000, -12.000, 0.750, 0.946, 0.750, 90.000 ],
  [ MobleTree3, -72.000, 0.000, -8.000, 0.511, 0.432, 0.511, 180.000 ],
  [ MobleTree2, -68.000, 0.000, -8.000, 0.589, 0.375, 0.589, 90.000 ],
  [ RocketLauncher, -56.000, 0.000, -8.000, 0.500, 0.500, 0.500, 90.000 ],
  [ Fortress2, -48.000, 0.000, -8.000, 1.000, 1.000, 1.000, 180.000 ],
  [ MobleTree3, -28.000, 0.000, -8.000, 0.440, 0.461, 0.440, 270.000 ],
  [ MobleTree3, -24.000, 0.000, -8.000, 0.375, 0.416, 0.375, 270.000 ],
  [ MobleTree3, -16.000, 0.000, -8.000, 0.375, 0.427, 0.375, 0.000 ],
  [ Tree3, -12.000, 0.000, -8.000, 1.146, 1.174, 1.146, 90.000 ],
  [ MobleTree3, 12.000, 0.000, -8.000, 0.604, 0.506, 0.604, 0.000 ],
  [ MobleTree3, 24.000, 0.000, -8.000, 0.414, 0.696, 0.414, 180.000 ],
  [ MobleTree3, 28.000, 0.000, -8.000, 0.430, 0.469, 0.430, 180.000 ],
  [ MobleTree3, 36.000, 0.000, -8.000, 0.411, 0.459, 0.411, 90.000 ],
  [ MobleTree3, 40.000, 0.000, -8.000, 0.606, 0.439, 0.606, 270.000 ],
  [ MobleTree3, 44.000, 0.000, -8.000, 0.482, 0.512, 0.482, 0.000 ],
  [ MobleTree3, 56.000, 0.000, -8.000, 0.584, 0.541, 0.584, 90.000 ],
  [ MobleTree3, -76.000, 0.000, -4.000, 0.566, 0.494, 0.566, 270.000 ],
  [ MobleTree3, -72.000, 0.000, -4.000, 0.570, 0.516, 0.570, 90.000 ],
  [ T-34, -64.000, 0.000, -4.000, 1.000, 1.000, 1.000, 0.000 ],
  [ T-34, -36.000, 0.000, -4.000, 1.000, 1.000, 1.000, 0.000 ],
  [ MobleTree3, -24.000, 0.000, -4.000, 0.470, 0.590, 0.470, 270.000 ],
  [ MobleTree1, -16.000, 0.000, -4.000, 0.486, 0.398, 0.486, 90.000 ],
  [ MobleTree3, -12.000, 0.000, -4.000, 0.419, 0.587, 0.419, 0.000 ],
  [ Lamppost, 12.000, 0.000, -4.000, 1.000, 1.000, 1.000, 180.000 ],
  [ MobleTree3, 16.000, 0.000, -4.000, 0.510, 0.460, 0.510, 180.000 ],
  [ MobleTree3, 20.000, 0.000, -4.000, 0.431, 0.466, 0.431, 0.000 ],
  [ MobleTree3, 24.000, 0.000, -4.000, 0.439, 0.434, 0.439, 90.000 ],
  [ MobleTree3, 28.000, 0.000, -4.000, 0.481, 0.599, 0.481, 180.000 ],
  [ MobleTree3, 32.000, 0.000, -4.000, 0.451, 0.405, 0.451, 0.000 ],
  [ MobleTree3, 36.000, 0.000, -4.000, 0.501, 0.385, 0.501, 180.000 ],
  [ MobleTree3, 40.000, 0.000, -4.000, 0.614, 0.530, 0.614, 180.000 ],
  [ MobleTree3, 44.000, 0.000, -4.000, 0.493, 0.444, 0.493, 0.000 ],
  [ MobleTree3, 48.000, 0.000, -4.000, 0.437, 0.375, 0.437, 90.000 ],
  [ MobleTree3, 52.000, 0.000, -4.000, 0.445, 0.638, 0.445, 180.000 ],
  [ MobleTree3, 60.000, 0.000, -4.000, 0.472, 0.375, 0.472, 270.000 ],
  [ MobleTree3, -76.000, 0.000, -0.000, 0.417, 0.506, 0.417, 180.000 ],
  [ MobleTree2, -28.000, 0.000, 0.000, 0.405, 0.401, 0.405, 180.000 ],
  [ MobleTree3, -24.000, 0.000, 0.000, 0.563, 0.382, 0.563, 90.000 ],
  [ MobleTree3, -16.000, 0.000, -0.000, 0.383, 0.376, 0.383, 90.000 ],
  [ MobleTree3, -12.000, 0.000, 0.000, 0.548, 0.628, 0.548, 270.000 ],
  [ Tree3, 60.000, 0.000, 0.000, 1.391, 1.053, 1.391, 0.000 ],
  [ MobleTree3, 64.000, 0.000, -0.000, 0.612, 0.390, 0.612, 90.000 ],
  [ MobleTree3, -76.000, 0.000, 4.000, 0.526, 0.456, 0.526, 180.000 ],
  [ MobleTree2, -72.000, 0.000, 4.000, 0.443, 0.467, 0.443, 180.000 ],
  [ MobleTree3, -28.000, 0.000, 4.000, 0.559, 0.529, 0.559, 270.000 ],
  [ MobleTree3, -12.000, 0.000, 4.000, 0.531, 0.542, 0.531, 270.000 ],
  [ MobleTree3, -8.000, 0.000, 4.000, 0.375, 0.488, 0.375, 270.000 ],
  [ T-34, 8.000, 0.000, 4.000, 1.000, 1.000, 1.000, 270.000 ],
  [ T-34, 24.000, 0.000, 4.000, 1.000, 1.000, 1.000, 270.000 ],
  [ MobleTree3, 64.000, 0.000, 4.000, 0.375, 0.419, 0.375, 0.000 ],
  [ MobleTree3, -76.000, 0.000, 8.000, 0.649, 0.389, 0.649, 270.000 ],
  [ MobleTree3, -72.000, 0.000, 8.000, 0.712, 0.480, 0.712, 0.000 ],
  [ MobleTree3, -28.000, 0.000, 8.000, 0.452, 0.656, 0.452, 270.000 ],
  [ MobleTree2, -12.000, 0.000, 8.000, 0.587, 0.518, 0.587, 90.000 ],
  [ MobleTree2, -8.000, 0.000, 8.000, 0.375, 0.602, 0.375, 180.000 ],
  [ MobleTree3, 64.000, 0.000, 8.000, 0.375, 0.427, 0.375, 90.000 ],
  [ MobleTree2, 72.000, 0.000, 8.000, 0.612, 0.375, 0.612, 180.000 ],
  [ MobleTree2, -72.000, 0.000, 12.000, 0.620, 0.375, 0.620, 180.000 ],
  [ MobleTree3, -28.000, 0.000, 12.000, 0.487, 0.484, 0.487, 270.000 ],
  [ MobleTree3, -8.000, 0.000, 12.000, 0.528, 0.589, 0.528, 0.000 ],
  [ MobleTree3, 60.000, 0.000, 12.000, 0.423, 0.449, 0.423, 90.000 ],
  [ MobleTree3, 64.000, 0.000, 12.000, 0.525, 0.481, 0.525, 0.000 ],
  [ MobleTree2, 76.000, 0.000, 12.000, 0.579, 0.491, 0.579, 180.000 ],
  [ Tree3, -76.000, 0.000, 16.000, 1.357, 1.500, 1.357, 180.000 ],
  [ MobleTree3, -72.000, 0.000, 16.000, 0.602, 0.710, 0.602, 180.000 ],
  [ MobleTree3, -28.000, 0.000, 16.000, 0.660, 0.459, 0.660, 0.000 ],
  [ Tree3, -8.000, 0.000, 16.000, 1.325, 0.931, 1.325, 180.000 ],
  [ MobleTree3, 12.000, 0.000, 16.000, 0.375, 0.483, 0.375, 0.000 ],
  [ MobleTree3, 20.000, 0.000, 16.000, 0.696, 0.470, 0.696, 0.000 ],
  [ MobleTree3, 24.000, 0.000, 16.000, 0.524, 0.534, 0.524, 180.000 ],
  [ MobleTree3, 28.000, 0.000, 16.000, 0.375, 0.448, 0.375, 90.000 ],
  [ MobleTree3, 32.000, 0.000, 16.000, 0.375, 0.469, 0.375, 0.000 ],
  [ MobleTree3, 36.000, 0.000, 16.000, 0.551, 0.564, 0.551, 270.000 ],
  [ MobleTree3, 40.000, 0.000, 16.000, 0.434, 0.375, 0.434, 270.000 ],
  [ MobleTree3, 64.000, 0.000, 16.000, 0.436, 0.375, 0.436, 90.000 ],
  [ Tree3, 68.000, 0.000, 16.000, 1.203, 0.982, 1.203, 180.000 ],
  [ MobleTree3, -72.000, 0.000, 20.000, 0.454, 0.375, 0.454, 180.000 ],
  [ MobleTree3, -28.000, 0.000, 20.000, 0.479, 0.427, 0.479, 0.000 ],
  [ Tree3, -12.000, 0.000, 20.000, 0.960, 1.122, 0.960, 270.000 ],
  [ MobleTree3, -8.000, 0.000, 20.000, 0.715, 0.477, 0.715, 0.000 ],
  [ MobleTree3, 8.000, 0.000, 20.000, 0.558, 0.482, 0.558, 90.000 ],
  [ MobleTree3, 16.000, 0.000, 20.000, 0.375, 0.459, 0.375, 90.000 ],
  [ MobleTree2, 24.000, 0.000, 20.000, 0.679, 0.492, 0.679, 0.000 ],
  [ MobleTree3, 36.000, 0.000, 20.000, 0.505, 0.602, 0.505, 90.000 ],
  [ MobleTree3, 40.000, 0.000, 20.000, 0.617, 0.413, 0.617, 270.000 ],
  [ MobleTree3, 68.000, 0.000, 20.000, 0.523, 0.579, 0.523, 270.000 ],
  [ MobleTree3, -72.000, 0.000, 24.000, 0.513, 0.565, 0.513, 180.000 ],
  [ MobleTree3, -32.000, 0.000, 24.000, 0.463, 0.377, 0.463, 270.000 ],
  [ MobleTree3, -28.000, 0.000, 24.000, 0.612, 0.403, 0.612, 180.000 ],
  [ MobleTree3, -8.000, 0.000, 24.000, 0.423, 0.558, 0.423, 270.000 ],
  [ MobleTree2, -4.000, 0.000, 24.000, 0.375, 0.375, 0.375, 180.000 ],
  [ MobleTree3, 8.000, 0.000, 24.000, 0.415, 0.419, 0.415, 180.000 ],
  [ MobleTree3, 12.000, 0.000, 24.000, 0.651, 0.567, 0.651, 180.000 ],
  [ MobleTree2, 20.000, 0.000, 24.000, 0.471, 0.461, 0.471, 270.000 ],
  [ MobleTree2, 24.000, 0.000, 24.000, 0.585, 0.375, 0.585, 0.000 ],
  [ MobleTree3, 32.000, 0.000, 24.000, 0.607, 0.375, 0.607, 180.000 ],
  [ MobleTree3, 36.000, 0.000, 24.000, 0.619, 0.375, 0.619, 180.000 ],
  [ MobleTree3, 68.000, 0.000, 24.000, 0.511, 0.447, 0.511, 90.000 ],
  [ MobleTree3, 72.000, 0.000, 24.000, 0.375, 0.462, 0.375, 90.000 ],
  [ MobleTree3, -72.000, 0.000, 28.000, 0.442, 0.413, 0.442, 180.000 ],
  [ MobleTree3, -68.000, 0.000, 28.000, 0.583, 0.375, 0.583, 180.000 ],
  [ MobleTree3, -36.000, 0.000, 28.000, 0.539, 0.657, 0.539, 0.000 ],
  [ MobleTree3, -32.000, 0.000, 28.000, 0.442, 0.567, 0.442, 270.000 ],
  [ MobleTree1, -12.000, -0.000, 28.000, 0.457, 0.675, 0.457, 90.000 ],
  [ MobleTree3, -8.000, -0.000, 28.000, 0.375, 0.597, 0.375, 0.000 ],
  [ MobleTree2, -4.000, 0.000, 28.000, 0.408, 0.496, 0.408, 0.000 ],
  [ MobleTree3, 8.000, 0.000, 28.000, 0.581, 0.519, 0.581, 180.000 ],
  [ MobleTree3, 12.000, 0.000, 28.000, 0.573, 0.596, 0.573, 0.000 ],
  [ MobleTree3, 32.000, 0.000, 28.000, 0.664, 0.379, 0.664, 270.000 ],
  [ MobleTree3, 76.000, 0.000, 28.000, 0.626, 0.495, 0.626, 90.000 ],
  [ MobleTree2, -68.000, 0.000, 32.000, 0.563, 0.545, 0.563, 270.000 ],
  [ MobleTree2, -64.000, 0.000, 32.000, 0.538, 0.375, 0.538, 0.000 ],
  [ MobleTree3, -40.000, 0.000, 32.000, 0.473, 0.497, 0.473, 90.000 ],
  [ MobleTree3, -36.000, 0.000, 32.000, 0.453, 0.477, 0.453, 180.000 ],
  [ MobleTree2, -16.000, 0.000, 32.000, 0.563, 0.517, 0.563, 270.000 ],
  [ MobleTree3, -8.000, 0.000, 32.000, 0.509, 0.750, 0.509, 180.000 ],
  [ MobleTree3, 8.000, 0.000, 32.000, 0.453, 0.559, 0.453, 270.000 ],
  [ Tree3, 12.000, 0.000, 32.000, 1.005, 1.069, 1.005, 0.000 ],
  [ MobleTree3, 32.000, 0.000, 32.000, 0.396, 0.521, 0.396, 0.000 ],
  [ Tree3, 72.000, 0.000, 32.000, 1.407, 1.032, 1.407, 180.000 ],
  [ Tree3, 76.000, 0.000, 32.000, 0.998, 0.838, 0.998, 0.000 ],
  [ MobleTree2, -60.000, 0.000, 36.000, 0.395, 0.412, 0.395, 0.000 ],
  [ MobleTree3, -56.000, 0.000, 36.000, 0.578, 0.446, 0.578, 0.000 ],
  [ MobleTree3, -44.000, 0.000, 36.000, 0.673, 0.466, 0.673, 0.000 ],
  [ MobleTree2, -40.000, 0.000, 36.000, 0.612, 0.737, 0.612, 270.000 ],
  [ Tree3, -24.000, 0.000, 36.000, 1.076, 0.945, 1.076, 180.000 ],
  [ MobleTree2, -16.000, 0.000, 36.000, 0.599, 0.625, 0.599, 180.000 ],
  [ MobleTree1, -8.000, 0.000, 36.000, 0.547, 0.600, 0.547, 180.000 ],
  [ Tree3, 8.000, 0.000, 36.000, 1.097, 0.784, 1.097, 180.000 ],
  [ MobleTree2, 12.000, -0.000, 36.000, 0.453, 0.625, 0.453, 180.000 ],
  [ MobleTree2, 16.000, 0.000, 36.000, 0.540, 0.375, 0.540, 180.000 ],
  [ MobleTree3, 28.000, 0.000, 36.000, 0.685, 0.430, 0.685, 0.000 ],
  [ MobleTree3, 72.000, 0.000, 36.000, 0.536, 0.422, 0.536, 270.000 ],
  [ MobleTree3, -68.000, 0.000, 40.000, 0.497, 0.750, 0.497, 270.000 ],
  [ MobleTree3, -64.000, 0.000, 40.000, 0.496, 0.671, 0.496, 90.000 ],
  [ MobleTree3, -56.000, 0.000, 40.000, 0.465, 0.375, 0.465, 0.000 ],
  [ Tree3, -44.000, 0.000, 40.000, 1.022, 0.934, 1.022, 270.000 ],
  [ MobleTree2, -40.000, 0.000, 40.000, 0.423, 0.613, 0.423, 0.000 ],
  [ BrokenHouse, -28.000, 0.000, 40.000, 1.000, 1.000, 1.000, 90.000 ],
  [ Tree3, -8.000, 0.000, 40.000, 0.864, 1.336, 0.864, 180.000 ],
  [ MobleTree3, 8.000, 0.000, 40.000, 0.482, 0.394, 0.482, 180.000 ],
  [ MobleTree2, 12.000, 0.000, 40.000, 0.486, 0.442, 0.486, 180.000 ],
  [ Tree3, 24.000, 0.000, 40.000, 1.090, 1.435, 1.090, 0.000 ],
  [ MobleTree3, 28.000, 0.000, 40.000, 0.529, 0.424, 0.529, 0.000 ],
  [ MobleTree3, 72.000, 0.000, 40.000, 0.375, 0.375, 0.375, 0.000 ],
  [ MobleTree3, -68.000, 0.000, 44.000, 0.375, 0.440, 0.375, 270.000 ],
  [ MobleTree3, -56.000, 0.000, 44.000, 0.518, 0.474, 0.518, 0.000 ],
  [ MobleTree3, -44.000, 0.000, 44.000, 0.527, 0.507, 0.527, 180.000 ],
  [ MobleTree3, -40.000, 0.000, 44.000, 0.513, 0.406, 0.513, 270.000 ],
  [ MobleTree2, -16.000, 0.000, 44.000, 0.422, 0.511, 0.422, 0.000 ],
  [ MobleTree3, -12.000, 0.000, 44.000, 0.570, 0.660, 0.570, 90.000 ],
  [ MobleTree3, -8.000, 0.000, 44.000, 0.383, 0.591, 0.383, 180.000 ],
  [ Fortress1, 0.000, 0.000, 44.000, 1.000, 2.000, 3.000, 90.000 ],
  [ MobleTree3, 8.000, 0.000, 44.000, 0.606, 0.550, 0.606, 0.000 ],
  [ MobleTree2, 12.000, 0.000, 44.000, 0.520, 0.519, 0.520, 0.000 ],
  [ Tree3, 24.000, 0.000, 44.000, 1.223, 1.007, 1.223, 0.000 ],
  [ Tree3, 28.000, 0.000, 44.000, 1.362, 0.851, 1.362, 90.000 ],
  [ Tree3, 72.000, 0.000, 44.000, 0.975, 1.281, 0.975, 0.000 ],
  [ MobleTree3, -64.000, 0.000, 48.000, 0.585, 0.522, 0.585, 270.000 ],
  [ MobleTree2, -56.000, 0.000, 48.000, 0.569, 0.612, 0.569, 270.000 ],
  [ MobleTree3, -40.000, 0.000, 48.000, 0.542, 0.375, 0.542, 90.000 ],
  [ MobleTree3, -36.000, 0.000, 48.000, 0.506, 0.480, 0.506, 270.000 ],
  [ Tree3, -32.000, 0.000, 48.000, 1.126, 1.312, 1.126, 90.000 ],
  [ MobleTree3, -28.000, -0.000, 48.000, 0.375, 0.389, 0.375, 180.000 ],
  [ MobleTree3, -24.000, 0.000, 48.000, 0.478, 0.587, 0.478, 0.000 ],
  [ MobleTree3, -20.000, 0.000, 48.000, 0.417, 0.549, 0.417, 0.000 ],
  [ Tree3, -16.000, 0.000, 48.000, 1.251, 1.038, 1.251, 90.000 ],
  [ MobleTree3, 8.000, 0.000, 48.000, 0.437, 0.577, 0.437, 0.000 ],
