mapSize: [21, 41],
map: [
  [ Tree3, -32.000, 0.000, -80.000, 1.000, 1.000, 1.000, 270.000 ],
  [ Tree3, -40.000, -0.000, -68.000, 1.000, 1.000, 1.000, 0.000 ],
  [ Tree3, 40.000, 0.000, -68.000, 1.000, 1.000, 1.000, 270.000 ],
  [ Tree3, -40.000, 0.000, -64.000, 1.000, 1.000, 1.000, 90.000 ],
  [ Tree3, 40.000, -0.000, -64.000, 1.000, 1.000, 1.000, 0.000 ],
  [ Tree3, -40.000, 0.000, -60.000, 1.000, 1.000, 1.000, 0.000 ],
  [ T-34, -8.000, 0.000, -60.000, 1.000, 1.000, 1.000, 0.000 ],
  [ T-34, 8.000, 0.000, -60.000, 1.000, 1.000, 1.000, 0.000 ],
  [ Tree2, 40.000, 0.000, -60.000, 1.000, 1.000, 1.000, 90.000 ],
  [ Tree2, -40.000, 0.000, -56.000, 1.000, 1.000, 1.000, 90.000 ],
  [ Tree3, 40.000, 0.000, -56.000, 1.000, 1.000, 1.000, 0.000 ],
  [ Tree3, -40.000, 0.000, -52.000, 1.000, 1.000, 1.000, 0.000 ],
  [ BrickHouse, -28.000, 0.000, -52.000, 2.000, 2.000, 2.000, 0.000 ],
  [ BrokenHouse, 24.000, 0.000, -52.000, 1.000, 1.000, 1.000, 90.000 ],
  [ Tree3, 40.000, -0.000, -52.000, 1.000, 1.000, 1.000, 180.000 ],
  [ Tree3, -40.000, 0.000, -48.000, 1.000, 1.000, 1.000, 180.000 ],
  [ Tree3, 40.000, 0.000, -48.000, 1.000, 1.000, 1.000, 0.000 ],
  [ Tree3, -40.000, 0.000, -44.000, 1.000, 1.000, 1.000, 270.000 ],
  [ BrickHouse, 16.000, 0.000, -44.000, 2.000, 2.000, 2.000, 270.000 ],
  [ Tree2, 40.000, 0.000, -44.000, 1.000, 1.000, 1.000, 90.000 ],
  [ Tree3, -40.000, 0.000, -40.000, 1.000, 1.000, 1.000, 0.000 ],
  [ Tree2, 40.000, 0.000, -40.000, 1.000, 1.000, 1.000, 90.000 ],
  [ Tree3, -40.000, 0.000, -36.000, 1.000, 1.000, 1.000, 90.000 ],
  [ Tree3, -20.000, 0.000, -36.000, 1.000, 1.000, 1.000, 90.000 ],
  [ Tree2, 40.000, 0.000, -36.000, 1.000, 1.000, 1.000, 90.000 ],
  [ Tree2, -40.000, 0.000, -32.000, 1.000, 1.000, 1.000, 90.000 ],
  [ Repair, -32.000, 0.000, -32.000, 1.000, 1.000, 1.000, 0.000 ],
  [ BrokenHouse, -20.000, 0.000, -32.000, 1.000, 1.000, 1.000, 270.000 ],
  [ Repair, 12.000, 0.000, -32.000, 1.000, 1.000, 1.000, 0.000 ],
  [ Tree3, 40.000, 0.000, -32.000, 1.000, 1.000, 1.000, 180.000 ],
  [ Tree3, -40.000, 0.000, -28.000, 1.000, 1.000, 1.000, 0.000 ],
  [ Tree3, 40.000, 0.000, -28.000, 1.000, 1.000, 1.000, 0.000 ],
  [ Tree3, -40.000, 0.000, -24.000, 1.000, 1.000, 1.000, 180.000 ],
  [ T-34, 24.000, 0.000, -24.000, 1.000, 1.000, 1.000, 0.000 ],
  [ BrokenHouse, 32.000, 0.000, -24.000, 1.000, 1.000, 1.000, 180.000 ],
  [ Tree3, 36.000, 0.000, -24.000, 1.000, 1.000, 1.000, 90.000 ],
  [ Tree3, 40.000, 0.000, -24.000, 1.000, 1.000, 1.000, 90.000 ],
  [ Tree3, -40.000, 0.000, -20.000, 1.000, 1.000, 1.000, 180.000 ],
  [ BrokenHouse, 16.000, 0.000, -20.000, 1.000, 1.000, 1.000, 0.000 ],
  [ Bench, 32.000, 0.000, -20.000, 1.000, 1.000, 1.000, 0.000 ],
  [ Tree2, 36.000, 0.000, -20.000, 1.000, 1.000, 1.000, 90.000 ],
  [ Tree3, 40.000, 0.000, -20.000, 1.000, 1.000, 1.000, 0.000 ],
  [ Tree3, -40.000, 0.000, -16.000, 1.000, 1.000, 1.000, 0.000 ],
  [ Tree2, -12.000, 0.000, -16.000, 1.000, 1.000, 1.000, 0.000 ],
  [ T-34, 16.000, 0.000, -16.000, 1.000, 1.000, 1.000, 270.000 ],
  [ Tree2, 36.000, 0.000, -16.000, 1.000, 1.000, 1.000, 90.000 ],
  [ Tree3, 40.000, 0.000, -16.000, 1.000, 1.000, 1.000, 180.000 ],
  [ Tree3, -40.000, 0.000, -12.000, 1.000, 1.000, 1.000, 90.000 ],
  [ House-1-5(2), -24.000, 0.000, -12.000, 1.000, 1.000, 1.000, 180.000 ],
  [ House-1-5(2), -16.000, 0.000, -12.000, 1.000, 1.000, 1.000, 0.000 ],
  [ Tree2, 40.000, -0.000, -12.000, 1.000, 1.000, 1.000, 90.000 ],
  [ Tree2, -40.000, 0.000, -8.000, 1.000, 1.000, 1.000, 90.000 ],
  [ Tree2, -28.000, 0.000, -8.000, 1.000, 1.000, 1.000, 90.000 ],
  [ Bench, -12.000, 0.000, -8.000, 1.000, 1.000, 1.000, 90.000 ],
  [ Tree2, 12.000, 0.000, -8.000, 1.000, 1.000, 1.000, 0.000 ],
  [ Tree2, 40.000, 0.000, -8.000, 1.000, 1.000, 1.000, 90.000 ],
  [ Tree3, -40.000, 0.000, -4.000, 1.000, 1.000, 1.000, 0.000 ],
  [ Tree2, -28.000, 0.000, -4.000, 1.000, 1.000, 1.000, 90.000 ],
  [ House-1-5(4), -20.000, 0.000, -4.000, 1.000, 1.000, 1.000, 270.000 ],
  [ Lamppost, -12.000, 0.000, -4.000, 1.000, 1.000, 1.000, 0.000 ],
  [ Lamppost, 12.000, 0.000, -4.000, 1.000, 1.000, 1.000, 0.000 ],
  [ Tree3, 40.000, 0.000, -4.000, 1.000, 1.000, 1.000, 0.000 ],
  [ Tree3, -40.000, 0.000, 0.000, 1.000, 1.000, 1.000, 90.000 ],
  [ Tree3, -24.000, 0.000, 0.000, 1.000, 1.000, 1.000, 90.000 ],
  [ Tree3, -16.000, 0.000, 0.000, 1.000, 1.000, 1.000, 90.000 ],
  [ House-1-5(2), 16.000, 0.000, 0.000, 1.000, 1.000, 1.000, 180.000 ],
  [ House-1-5(2), 24.000, 0.000, 0.000, 1.000, 1.000, 1.000, 0.000 ],
  [ Tree3, 40.000, 0.000, 0.000, 1.000, 1.000, 1.000, 90.000 ],
  [ Tree3, -40.000, 0.000, 4.000, 1.000, 1.000, 1.000, 0.000 ],
  [ Bench, 12.000, 0.000, 4.000, 1.000, 1.000, 1.000, 270.000 ],
  [ Repair, 32.000, 0.000, 4.000, 1.000, 1.000, 1.000, 0.000 ],
  [ Tree3, 40.000, 0.000, 4.000, 1.000, 1.000, 1.000, 0.000 ],
  [ Tree3, -40.000, 0.000, 8.000, 1.000, 1.000, 1.000, 180.000 ],
  [ House-1-5(3), 20.000, 0.000, 8.000, 1.000, 1.000, 1.000, 270.000 ],
  [ Tree3, 40.000, 0.000, 8.000, 1.000, 1.000, 1.000, 180.000 ],
  [ Tree3, -40.000, 0.000, 12.000, 1.000, 1.000, 1.000, 0.000 ],
  [ T-34, -24.000, 0.000, 12.000, 1.000, 1.000, 1.000, 90.000 ],
  [ Bench, 16.000, 0.000, 12.000, 1.000, 1.000, 1.000, 0.000 ],
  [ Tree3, 24.000, -0.000, 12.000, 1.000, 1.000, 1.000, 90.000 ],
  [ Tree3, 40.000, 0.000, 12.000, 1.000, 1.000, 1.000, 90.000 ],
  [ Tree3, -40.000, 0.000, 16.000, 1.000, 1.000, 1.000, 90.000 ],
  [ T-34, -16.000, 0.000, 16.000, 1.000, 1.000, 1.000, 90.000 ],
  [ Tree2, 40.000, 0.000, 16.000, 1.000, 1.000, 1.000, 90.000 ],
  [ Tree3, -40.000, -0.000, 20.000, 1.000, 1.000, 1.000, 0.000 ],
  [ Lamppost, -12.000, 0.000, 20.000, 1.000, 1.000, 1.000, 90.000 ],
  [ Lamppost, 12.000, 0.000, 20.000, 1.000, 1.000, 1.000, 90.000 ],
  [ Tree3, 40.000, 0.000, 20.000, 1.000, 1.000, 1.000, 180.000 ],
  [ Tree2, -40.000, 0.000, 24.000, 1.000, 1.000, 1.000, 90.000 ],
  [ House-1-5(4), -24.000, 0.000, 24.000, 1.000, 1.000, 1.000, 90.000 ],
  [ House-1-5(2), -16.000, 0.000, 24.000, 1.000, 1.000, 1.000, 0.000 ],
  [ House-1-5(5), 16.000, 0.000, 24.000, 1.000, 1.000, 1.000, 180.000 ],
  [ House-1-5(3), 24.000, 0.000, 24.000, 1.000, 1.000, 1.000, 90.000 ],
  [ Tree3, 40.000, 0.000, 24.000, 1.000, 1.000, 1.000, 0.000 ],
  [ Tree3, -40.000, -0.000, 28.000, 1.000, 1.000, 1.000, 0.000 ],
  [ Tree3, 40.000, -0.000, 28.000, 1.000, 1.000, 1.000, 90.000 ],
  [ Tree3, -40.000, 0.000, 32.000, 1.000, 1.000, 1.000, 0.000 ],
  [ House-1-5(3), -24.000, 0.000, 32.000, 1.000, 1.000, 1.000, 270.000 ],
  [ House-1-5(2), -16.000, 0.000, 32.000, 1.000, 1.000, 1.000, 0.000 ],
  [ House-1-5(5), 16.000, 0.000, 32.000, 1.000, 1.000, 1.000, 180.000 ],
  [ House-1-5(4), 24.000, 0.000, 32.000, 1.000, 1.000, 1.000, 270.000 ],
  [ Tree3, 40.000, 0.000, 32.000, 1.000, 1.000, 1.000, 0.000 ],
  [ Tree3, -40.000, 0.000, 36.000, 1.000, 1.000, 1.000, 90.000 ],
  [ Tree2, -28.000, 0.000, 36.000, 1.000, 1.000, 1.000, 0.000 ],
  [ Tree2, -20.000, 0.000, 36.000, 1.000, 1.000, 1.000, 0.000 ],
  [ Chair, -12.000, 0.000, 36.000, 1.000, 1.000, 1.000, 90.000 ],
  [ T-34, 8.000, 0.000, 36.000, 1.000, 1.000, 1.000, 0.000 ],
  [ Bench, 12.000, 0.000, 36.000, 1.000, 1.000, 1.000, 270.000 ],
  [ Tree2, 20.000, 0.000, 36.000, 1.000, 1.000, 1.000, 270.000 ],
  [ Tree2, 28.000, 0.000, 36.000, 1.000, 1.000, 1.000, 270.000 ],
  [ Tree3, 40.000, 0.000, 36.000, 1.000, 1.000, 1.000, 90.000 ],
  [ Tree3, -40.000, 0.000, 40.000, 1.000, 1.000, 1.000, 0.000 ],
  [ Tree3, 40.000, 0.000, 40.000, 1.000, 1.000, 1.000, 0.000 ],
  [ Tree3, -40.000, 0.000, 44.000, 1.000, 1.000, 1.000, 90.000 ],
  [ Tree3, 40.000, 0.000, 44.000, 1.000, 1.000, 1.000, 90.000 ],
  [ House-1-5(2), -36.000, 0.000, 48.000, 1.000, 1.000, 1.000, 90.000 ],
  [ House-1-5(4), -24.000, 0.000, 48.000, 1.000, 1.000, 1.000, 90.000 ],
  [ Tree3, -16.000, 0.000, 48.000, 1.000, 1.000, 1.000, 90.000 ],
  [ Tree3, 16.000, 0.000, 48.000, 1.000, 1.000, 1.000, 180.000 ],
  [ House-1-5(3), 24.000, 0.000, 48.000, 1.000, 1.000, 1.000, 90.000 ],
  [ House-1-5(5), 36.000, 0.000, 48.000, 1.000, 1.000, 1.000, 90.000 ],
  [ House-1-5(2), -36.000, 0.000, 52.000, 1.000, 1.000, 1.000, 270.000 ],
  [ House-1-5(4), -24.000, 0.000, 52.000, 1.000, 1.000, 1.000, 270.000 ],
  [ Lamppost, -16.000, 0.000, 52.000, 1.000, 1.000, 1.000, 90.000 ],
  [ Lamppost, 16.000, 0.000, 52.000, 1.000, 1.000, 1.000, 90.000 ],
  [ House-1-5(3), 24.000, 0.000, 52.000, 1.000, 1.000, 1.000, 270.000 ],
  [ House-1-5(5), 36.000, 0.000, 52.000, 1.000, 1.000, 1.000, 270.000 ],
  [ Tree2, -40.000, 0.000, 56.000, 1.000, 1.000, 1.000, 90.000 ],
  [ Bench, -32.000, 0.000, 56.000, 1.000, 1.000, 1.000, 0.000 ],
  [ Tree2, 40.000, 0.000, 56.000, 1.000, 1.000, 1.000, 90.000 ],
  [ Tree3, -40.000, 0.000, 60.000, 1.000, 1.000, 1.000, 0.000 ],
  [ Repair, 0.000, 0.000, 60.000, 1.000, 1.000, 1.000, 0.000 ],
  [ Tree3, 40.000, 0.000, 60.000, 1.000, 1.000, 1.000, 0.000 ],
  [ Tree3, -40.000, 0.000, 64.000, 1.000, 1.000, 1.000, 270.000 ],
  [ Tree3, 40.000, 0.000, 64.000, 1.000, 1.000, 1.000, 180.000 ],
  [ Tree3, -40.000, 0.000, 68.000, 1.000, 1.000, 1.000, 0.000 ],
  [ Tree3, 40.000, 0.000, 68.000, 1.000, 1.000, 1.000, 270.000 ],
  [ Tree3, -40.000, 0.000, 72.000, 1.000, 1.000, 1.000, 180.000 ],
  [ Lamppost, -36.000, 0.000, 72.000, 1.000, 1.000, 1.000, 90.000 ],
  [ BrickHouse, -32.000, 0.000, 72.000, 2.000, 2.000, 2.000, 0.000 ],
  [ Tree2, -28.000, -0.000, 72.000, 1.000, 1.000, 1.000, 270.000 ],
  [ Tree2, -20.000, 0.000, 72.000, 1.000, 1.000, 1.000, 270.000 ],
  [ Lamppost, -16.000, 0.000, 72.000, 1.000, 1.000, 1.000, 0.000 ],
  [ Tiger-I, 0.000, 0.000, 72.000, 1.000, 1.000, 1.000, 180.000 ],
  [ Lamppost, 16.000, -0.000, 72.000, 1.000, 1.000, 1.000, 0.000 ],
  [ Tree2, 20.000, 0.000, 72.000, 1.000, 1.000, 1.000, 270.000 ],
  [ Tree2, 28.000, 0.000, 72.000, 1.000, 1.000, 1.000, 270.000 ],
  [ Lamppost, 36.000, 0.000, 72.000, 1.000, 1.000, 1.000, 90.000 ],
  [ Tree3, 40.000, 0.000, 72.000, 1.000, 1.000, 1.000, 0.000 ],
  [ Tree2, -40.000, 0.000, 76.000, 1.000, 1.000, 1.000, 270.000 ],
  [ Tree3, -36.000, 0.000, 76.000, 1.000, 1.000, 1.000, 180.000 ],
  [ Tree2, -32.000, 0.000, 76.000, 1.000, 1.000, 1.000, 270.000 ],
  [ Tree2, -24.000, 0.000, 76.000, 1.000, 1.000, 1.000, 270.000 ],
  [ Tree2, -16.000, 0.000, 76.000, 1.000, 1.000, 1.000, 270.000 ],
  [ Tree2, 16.000, 0.000, 76.000, 1.000, 1.000, 1.000, 270.000 ],
  [ Tree2, 24.000, 0.000, 76.000, 1.000, 1.000, 1.000, 270.000 ],
  [ Tree3, 28.000, 0.000, 76.000, 1.000, 1.000, 1.000, 180.000 ],
  [ Tree2, 32.000, -0.000, 76.000, 1.000, 1.000, 1.000, 270.000 ],
  [ Tree2, 36.000, -0.000, 76.000, 1.000, 1.000, 1.000, 90.000 ],
  [ Tree2, 40.000, 0.000, 76.000, 1.000, 1.000, 1.000, 270.000 ],
  [ Tree2, -40.000, 0.000, 80.000, 1.000, 1.000, 1.000, 270.000 ],
  [ Tree2, -36.000, -0.000, 80.000, 1.000, 1.000, 1.000, 270.000 ],
  [ Tree3, -32.000, -0.000, 80.000, 1.000, 1.000, 1.000, 270.000 ],
  [ Tree3, -28.000, 0.000, 80.000, 1.000, 1.000, 1.000, 0.000 ],
  [ Tree3, -24.000, 0.000, 80.000, 1.000, 1.000, 1.000, 180.000 ],
  [ Tree2, -20.000, 0.000, 80.000, 1.000, 1.000, 1.000, 270.000 ],
  [ Tree3, -16.000, 0.000, 80.000, 1.000, 1.000, 1.000, 180.000 ],
  [ Tree3, -12.000, 0.000, 80.000, 1.000, 1.000, 1.000, 270.000 ],
  [ Tree3, -8.000, 0.000, 80.000, 1.000, 1.000, 1.000, 0.000 ],
  [ Tree3, -4.000, 0.000, 80.000, 1.000, 1.000, 1.000, 90.000 ],
  [ Tree3, -0.000, 0.000, 80.000, 1.000, 1.000, 1.000, 180.000 ],
  [ Tree3, 4.000, 0.000, 80.000, 1.000, 1.000, 1.000, 270.000 ],
  [ Tree3, 8.000, 0.000, 80.000, 1.000, 1.000, 1.000, 0.000 ],
  [ Tree3, 12.000, 0.000, 80.000, 1.000, 1.000, 1.000, 0.000 ],
  [ Tree3, 16.000, 0.000, 80.000, 1.000, 1.000, 1.000, 180.000 ],
  [ Tree3, 20.000, 0.000, 80.000, 1.000, 1.000, 1.000, 0.000 ],
  [ Tree3, 24.000, 0.000, 80.000, 1.000, 1.000, 1.000, 270.000 ],
  [ Tree2, 28.000, 0.000, 80.000, 1.000, 1.000, 1.000, 270.000 ],
  [ Tree2, 32.000, 0.000, 80.000, 1.000, 1.000, 1.000, 270.000 ],
  [ Tree3, 36.000, 0.000, 80.000, 1.000, 1.000, 1.000, 0.000 ],
  [ Tree3, 40.000, 0.000, 80.000, 1.000, 1.000, 1.000, 180.000 ],
],
groundMap: [
  0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 
  0, 0, 0, 0, 0, 0, 2, 2, 1, 1, 1, 1, 1, 2, 2, 0, 0, 0, 0, 0, 0, 
  0, 0, 0, 0, 0, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 0, 0, 0, 0, 0, 
  2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 
  1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 
  1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 
  2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 
  0, 0, 0, 0, 0, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 0, 0, 0, 0, 0, 
  0, 0, 0, 0, 0, 0, 2, 2, 1, 1, 1, 1, 1, 2, 2, 0, 0, 0, 0, 0, 0, 
  0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 
  0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 
  0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 
  0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 
  0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 
  0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 
  0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 
  0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 
  0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 
  0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 
  0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 
  0, 0, 0, 0, 0, 2, 0, 2, 1, 1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 
  0, 0, 0, 0, 0, 2, 2, 2, 1, 1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 
  0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 
  0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 1, 1, 2, 2, 2, 0, 0, 0, 0, 0, 
  0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 
  0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 
  0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 
  0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 
  0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 
  0, 0, 0, 0, 2, 0, 0, 2, 1, 1, 1, 1, 1, 2, 0, 0, 2, 0, 0, 0, 0, 
  0, 0, 0, 0, 2, 2, 2, 2, 1, 1, 1, 1, 1, 2, 2, 2, 2, 0, 0, 0, 0, 
  0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 
  0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 
  0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 
  2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 
  1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 
  1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 
  2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 
  0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 
  0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 
  0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 
]
